answer	is_standard
충청남도 태안군 태안읍 송암로 311-79	O
서울특별시 노원구 섬밭로 134	O
부산광역시 강서구 신호삼로 27	O
경기도 부천시 소사구 소사로170번길 32	O
서울특별시 금천구 가산로 99	O
경기도 포천시 소흘읍 검바위길 84	O
충청북도 청주시 서원구 1순환로1137번길 129	O
강원특별자치도 원주시 흥업면 울업1길 2	O
경기도 포천시 군내면 좌의길 16	O
전라남도 여수시 쌍봉로 19-1	O
경상북도 경산시 압량읍 압독3로 36	O
부산광역시 동래구 여고로135번길 27	O
전북특별자치도 군산시 진포로 239-21	O
강원특별자치도 정선군 정선읍 봉양2길 22	O
충청남도 당진시 당진중앙2로 331	O
경기도 고양시 덕양구 권율대로 726	O
대구광역시 북구 노원로10길 40	O
경기도 평택시 세교공원로 66	O
경기도 용인시 처인구 명지로 161	O
서울특별시 송파구 삼학사로 92	O
경기도 수원시 권선구 세화로162번길 25	O
경기도 포천시 소흘읍 광릉수목원로637번길 13-14	O
경기도 수원시 팔달구 권광로317번길 15	O
경기도 군포시 수리산로 102	O
경기도 용인시 처인구 남사읍 전궁로93번길 1	O
경상남도 의령군 의령읍 의병로19길 3-5	O
경기도 의정부시 녹양로62번길 12	O
서울특별시 강동구 천호대로197길 44	O
경상남도 거창군 웅양면 웅양로 1434	O
경상남도 창원시 마산회원구 양덕동2길 76	O
대구광역시 달성군 다사읍 서재로23길 6-4	O
경상남도 김해시 장유로334번길 30	O
경기도 광명시 광명로 842	O
인천광역시 연수구 청솔로 5	O
충청남도 서산시 향교4로 8-13	O
경상남도 창원시 성산구 원이대로 663	O
서울특별시 송파구 삼학사로4길 30	O
서울특별시 성북구 종암로21가길 14-26	O
경기도 안산시 단원구 선삼로1길 27	O
전남광주통합특별시 여수시 소라면 죽림중앙로 21-12	O
대구광역시 북구 중앙대로 591	O
충청북도 청주시 흥덕구 경산로50번길 6	O
경상남도 사천시 정동면 감곡길 5	O
충청남도 부여군 규암면 수북로 49-1	O
인천광역시 강화군 화도면 해안남로 2464-21	O
경기도 성남시 중원구 자혜로16번길 33-15	O
대전광역시 유성구 월드컵대로 351	O
인천광역시 미추홀구 경인로 395	O
경기도 용인시 수지구 고기로45번길 40-18	O
경기도 부천시 소사구 범안로96번길 23	O
경상북도 의성군 춘산면 춘산대사1길 145	O
충청북도 청주시 흥덕구 가경로149번길 8-6	O
서울특별시 강남구 선릉로 747	O
부산광역시 사상구 백양대로 372-15	O
경기도 양주시 삼숭로 109	O
부산광역시 부산진구 동성로 50	O
경기도 광주시 새말길 98	O
경기도 시흥시 배곧4로 106-25	O
서울특별시 강남구 봉은사로105길 12-7	O
서울특별시 송파구 가락로13길 3	O
경기도 용인시 처인구 경안천로 38	O
경상북도 경산시 하양읍 하양로37길 17	O
경기도 파주시 조리읍 장곡로 152	O
경기도 부천시 원미구 부천로275번길 29-2	O
세종특별자치시  해밀2로 67	O
경기도 하남시 덕풍북로71번길 29-1	O
서울특별시 중랑구 동일로123길 43-7	O
전남광주통합특별시 함평군 해보면 영광로 2538	O
서울특별시 강남구 강남대로94길 83	O
서울특별시 성북구 길음로 119	O
강원특별자치도 춘천시 동내면 거두택지길4번길 7-7	O
경상남도 양산시 동면 노포사송로 400	O
광주광역시 북구 거진길 46	O
경기도 수원시 권선구 호매실로218번길 111	O
경기도 김포시 김포한강11로 275	O
경기도 성남시 수정구 복정로 66	O
대구광역시 북구 칠곡중앙대로115길 24	O
경기도 양주시 만송로366번길 175-12	O
경기도 부천시 소사구 경인로 250	O
경기도 안산시 단원구 광덕2로 74	O
경기도 양주시 삼숭로38번길 78-12	O
서울특별시 노원구 동일로182길 63-15	O
인천광역시 연수구 비류대로278번길 8-14	O
부산광역시 남구 동명로132번길 69	O
부산광역시 부산진구 진사로50번길 30	O
경상남도 김해시 전하로 133	O
경기도 고양시 일산서구 가좌로 1	O
강원특별자치도 원주시 호저면 막골길 74	O
서울특별시 도봉구 노해로44길 49	O
경기도 용인시 기흥구 동백4로 72	O
전남광주통합특별시 신안군 비금면 비금서부길 74-40	O
경기도 포천시 소흘읍 호국로 503	O
경상북도 경산시 백천길 69	O
부산광역시 부산진구 서면로 10	O
경기도 성남시 수정구 태평로108번길 4-1	O
충청남도 보령시 주교면 외평길 45-26	O
서울특별시 성북구 낙산길 243-15	O
경기도 평택시 합정동 929-6 요아빌	X
대구광역시 북구 팔거천동로24길 40	O
경기도 파주시 새꽃로 35	O
경기도 광주시 회덕길68번길 30-50	O
광주광역시 동구 동명로 77-8	O
충청북도 괴산군 괴산읍 제월로 236-26	O
경상남도 고성군 삼산면 병산3길 461-40	O
부산광역시 해운대구 해운대로 361	O
경기도 의정부시 녹양로62번길 12	O
전북특별자치도 전주시 덕진구 만성동로 48	O
경상남도 거제시 중곡2로 89	O
부산광역시 북구 덕천로 49-3	O
경기도 수원시 팔달구 인계로 21	O
경기도 남양주시 별내5로 22	O
경기도 양주시 화합로1325번길 22-114	O
경기도 남양주시 오남읍 진건오남로 631	O
충청남도 청양군 화성면 멀뫼통골길 48-6	O
인천광역시 부평구 경인로759번길 19-1	O
경상북도 영주시 부석면 영부로106번길 6-11	O
경기도 안양시 만안구 태평로60번길 16	O
전남광주통합특별시 보성군 보성읍 인사길 1	O
경상남도 창녕군 부곡면 온천로 1190	O
전남광주통합특별시 영광군 영광읍 장궁길 172-10	O
전북특별자치도 김제시 금산면 모악14길 204	O
경기도 시흥시 정왕대로117번길 9	O
광주광역시 북구 동배마을길 29	O
충청북도 진천군 덕산읍 대하로 194	O
대전광역시 서구 관저로 48	O
경상남도 거제시 거제중앙로 1509-13	O
인천광역시 부평구 동수천로 71	O
울산광역시 울주군 웅촌면 대복동천로 146	O
서울특별시 동작구 현충로 52	O
경기도 부천시 소사구 경인로134번길 27	O
전남광주통합특별시 신안군 흑산면 예리2길 62-2	O
경기도 광주시 회덕길68번길 30-52	O
전북특별자치도 익산시 서동로17길 4	O
강원특별자치도 강릉시 율곡로 3016	O
서울특별시 구로구 새말로 31	O
강원특별자치도 동해시 배골길 32-4	O
부산광역시 기장군 철마면 고촌로44번길 16	O
경기도 부천시 원미구 심곡동 133-21	X
서울특별시 중구 소공로 46	O
인천광역시 서구 석남동 486-1	X
전북특별자치도 전주시 덕진구 솔내5길 5	O
충청북도 청주시 서원구 예체로 30	O
부산광역시 해운대구 대천로103번길 47	O
경기도 광주시 광주대로105번길 23-4	O
서울특별시 서초구 효령로 84	O
서울특별시 서초구 서초중앙로 206	O
경상남도 거제시 상동3길 15	O
세종특별자치시 연동면 송용1길 25-9	O
서울특별시 성동구 금호동4가 188	X
전라남도 목포시 달성길105번길 2	O
강원특별자치도 춘천시 남산면 북한강변길 910-24	O
서울특별시 도봉구 마들로 859-19	O
전라남도 여수시 충민공원길 20	O
경기도 군포시 고산로539번길 7-12	O
서울특별시 송파구 가락로5길 4-24	O
충청남도 천안시 서북구 충무로 170-5	O
경기도 평택시 고덕국제2로 35	O
서울특별시 성동구 금호동4가 188	X
경기도 안양시 동안구 학의로 146	O
강원특별자치도 홍천군 홍천읍 너브내길 200	O
경상남도 김해시 진영읍 하계로 9-29	O
충청북도 청주시 상당구 미원면 금관갯골길 16-55	O
충청북도 옥천군 옥천읍 매동로 83	O
충청남도 아산시 배방읍 장재리 1591	X
충청북도 청주시 청원구 오창읍 양청길 85	O
제주특별자치도 제주시 남광로 180	O
경기도 용인시 처인구 고림로162번길 15	O
충청남도 서산시 부석면 청금산1길 84-16	O
충청남도 예산군 고덕면 용고길 229	O
경기도 의정부시 회룡로105번길 7	O
강원특별자치도 속초시 만천4길 1	O
충청남도 당진시 수청3로 20	O
부산광역시 사상구 학감대로133번길 53-6	O
충청남도 천안시 서북구 쌍용17길 13	O
경기도 수원시 장안구 정자로42번길 52	O
전남광주통합특별시 영암군 삼호읍 대불주거로 160	O
인천광역시 남동구 간석로26번길 7	O
충청북도 충주시 동량면 조동1길 53	O
경상남도 의령군 부림면 대한로 1780	O
부산광역시 북구 덕천로 182	O
경기도 김포시 김포한강11로 275	O
부산광역시 연제구 쌍미천로129번길 21	O
강원특별자치도 춘천시 백령로 221-10	O
강원특별자치도 강릉시 왕산면 검뎅이골길 97	O
충청남도 서산시 학동10로 18-5	O
전북특별자치도 전주시 완산구 구이로 2094	O
대구광역시 서구 비산동 479-8	X
대구광역시 달서구 야외음악당로39동길 32	O
대구광역시 서구 국채보상로34길 12	O
서울특별시 강동구 양재대로85길 70	O
전북특별자치도 전주시 완산구 구이로 2094	O
서울특별시 구로구 새말로 31	O
인천광역시 계양구 봉오대로477번길 20	O
경기도 광주시 회덕길68번길 30-50	O
대전광역시 중구 유천로142번길 9	O
경기도 고양시 일산서구 대산로 161	O
경상북도 경주시 외동읍 괘릉길 50-2	O
서울특별시 중랑구 용마산로129나길 101	O
경상남도 창녕군 영산면 새룡길 103	O
인천광역시 계양구 아나지로 199	O
대구광역시 수성구 용학로35길 62	O
서울특별시 노원구 노원로28길 62	O
서울특별시 성북구 동소문로13가길 77	O
경기도 남양주시 경춘로859번길 38	O
부산광역시 동래구 명서로130번길 1-1	O
전라남도 순천시 서문로 21-9	O
부산광역시 연제구 거제천로118번길 60	O
제주특별자치도 제주시 애월읍 구몰동길 18-36	O
경상남도 양산시 양주로 94	O
경상남도 창원시 의창구 동읍 의창대로 870	O
경기도 고양시 덕양구 향기로 185	O
강원특별자치도 삼척시 사직로4길 40-11	O
경기도 연천군 미산면 어삼로 391-81	O
전남광주통합특별시 담양군 대전면 대치4길 46	O
경상남도 산청군 신안면 중촌갈전로 353-13	O
인천광역시 계양구 굴재길 4-5	O
대구광역시 수성구 지범로54길 15	O
인천광역시 남동구 담방로 105	O
서울특별시 용산구 청파로 213	O
경상남도 산청군 신등면 내당길 7-28	O
충청북도 제천시 청전대로12길 18	O
부산광역시 남구 신선로 566	O
서울특별시 강동구 강동대로53길 62	O
경기도 성남시 분당구 대왕판교로644번길 65	O
경상북도 포항시 북구 장성동 1534-2	X
충청남도 아산시 음봉면 월암로 487	O
경기도 수원시 권선구 서호동로14번길 52-29	O
충청북도 제천시 용두대로15길 47	O
제주특별자치도 제주시 조천읍 함덕남12길 19-3	O
경상북도 봉화군 명호면 명재로 378-39	O
경기도 양주시 백석읍 양주산성로574번길 31-15	O
강원특별자치도 원주시 소일마을2길 60	O
전북특별자치도 전주시 덕진구 무삼지로 10	O
경기도 안산시 상록구 화랑로 527	O
충청남도 아산시 둔포면 아산밸리남로 77	O
울산광역시 울주군 삼남읍 봉화마을길 9	O
대전광역시 유성구 월드컵대로253번길 37	O
서울특별시 광진구 자양동 829	X
인천광역시 강화군 양도면 인산리 222	X
부산광역시 동래구 낙민로 13	O
경기도 가평군 상면 청우산1길 39	O
서울특별시 강동구 천호대로197길 44	O
경기도 수원시 팔달구 교동 185-7	X
경기도 수원시 팔달구 창룡대로103번길 90	O
서울특별시 강동구 아리수로97길 20	O
경기도 수원시 권선구 탑동로12번길 11	O
인천광역시 강화군 길상면 해란길32번길 9-25	O
전남광주통합특별시 남구 용대로171번길 7	O
충청북도 음성군 원남면 하당길 14	O
대구광역시 달서구 상원로 143	O
부산광역시 사하구 낙동대로 182	O
대전광역시 대덕구 계족로690번길 21	O
대구광역시 달서구 구마로14남길 55	O
경상남도 거제시 장평로6길 20	O
경상북도 영주시 중앙로80번길 14	O
전라남도 순천시 석현길 70	O
대구광역시 북구 내곡로 15	O
경기도 의왕시 바라산로 75	O
경기도 용인시 수지구 만현로133번길 33	O
제주특별자치도 제주시 삼성로5길 13-12	O
경상북도 경산시 성암로10길 2-5	O
충청북도 청주시 흥덕구 증안로 21	O
경기도 부천시 소사구 송내동 561-21	X
경기도 고양시 덕양구 충장로 118-30	O
경기도 동두천시 삼육사로1002번길 61-9	O
경기도 용인시 기흥구 구성로 64-11	O
경기도 광명시 광명역로 28	O
강원특별자치도 속초시 중앙로46번길 34	O
경상남도 거제시 장평로6길 20	O
울산광역시 동구 화잠7길 28	O
경기도 광주시 광주역5로 18	O
대구광역시 달서구 구마로14남길 55	O
경상북도 구미시 야은로45길 20	O
부산광역시 동래구 쇠미로129번길 91	O
경기도 수원시 장안구 덕영대로395번길 16-5	O
충청북도 진천군 덕산읍 대월로 127	O
부산광역시 서구 보동길 310-10	O
서울특별시 마포구 마포대로28가길 26	O
전북특별자치도 완주군 용진읍 부평길 33-3	O
부산광역시 금정구 식물원로75번길 43	O
전남광주통합특별시 완도군 군외면 갈문13번길 1-11	O
인천광역시 연수구 해돋이로 107	O
부산광역시 금정구 범어천로31번길 32	O
경상북도 포항시 남구 해동로 33-1	O
인천광역시 연수구 함박뫼로4번길 18	O
경기도 남양주시 진접읍 내각1로89번길 2-12	O
경상남도 거제시 장목면 거제북로 1265-1	O
경기도 포천시 용정경제로 31	O
서울특별시 송파구 위례성대로10길 30	O
전북특별자치도 익산시 동천로7길 26-5	O
경상북도 안동시 광명로 212-5	O
충청남도 금산군 남일면 십이폭포로 240-46	O
대구광역시 군위군 효령면 경북대로 2703-54	O
경상남도 사천시 각산로 160	O
서울특별시 은평구 증산로23길 18	O
전라남도 나주시 그린로 63	O
경상남도 합천군 봉산면 양지2길 122	O
대구광역시 달성군 논공읍 비슬로371길 113	O
경기도 평택시 고덕여염6길 110	O
부산광역시 사상구 모라로192번길 50	O
경기도 부천시 소사구 송내대로 14	O
전북특별자치도 전주시 완산구 용머리로 27	O
경기도 안성시 일죽면 서동대로 7416-10	O
경기도 용인시 기흥구 동백평촌로 70	O
경상북도 경주시 동성로 37	O
전남광주통합특별시 보성군 노동면 대여길 75-4	O
대구광역시 남구 안지랑로5길 37-4	O
부산광역시 중구 흑교로71번길 24	O
인천광역시 서구 열우물로240번길 20	O
경기도 용인시 수지구 풍덕천로 76	O
경기도 의왕시 흥안대로456번길 125	O
경기도 연천군 연천읍 차옥로 149	O
강원특별자치도 삼척시 하장면 백두대간로 3035-31	O
경기도 남양주시 다산지금로146번길 117	O
충청남도 당진시 신평면 닻거리길 96-39	O
경상북도 고령군 성산면 대흥1길 10	O
경기도 평택시 통복길 5	O
부산광역시 수영구 연수로252번길 34	O
충청북도 청주시 상당구 문의면 덕유남계로 344-23	O
경기도 안산시 상록구 삼리로 23	O
부산광역시 중구 중구로 80-35	O
대구광역시 달성군 현풍읍 테크노북로2길 9	O
서울특별시 서대문구 가재울미래로 2	O
경기도 화성시 효행구 비봉면 새비봉남로 40	O
서울특별시 강동구 양재대로98길 30	O
부산광역시 해운대구 해운대로483번가길 39	O
경기도 시흥시 신천7길 33	O
경상남도 거제시 장평로6길 20	O
대구광역시 달서구 구마로14남길 55	O
경기도 동두천시 동두천로 63	O
충청남도 태안군 안면읍 황도로 463	O
경기도 광명시 광명로 770	O
서울특별시 동대문구 약령시로17길 73-7	O
인천광역시 서구 봉오대로318번길 21	O
경상북도 구미시 여헌로10길 26	O
경기도 고양시 일산서구 탄중로101번길 36	O
울산광역시 남구 두왕로126번길 18	O
경상북도 청송군 청송읍 길안청송로 1662	O
대전광역시 서구 도솔로267번길 55	O
경기도 부천시 오정구 역곡로471번길 9-10	O
경상남도 진주시 진양호로293번길 16-5	O
강원특별자치도 홍천군 영귀미면 수타사로 227-32	O
제주특별자치도 제주시 애월읍 소길1길 15	O
부산광역시 영도구 동삼서로 51-7	O
경기도 평택시 현덕면 화양현화1로 50	O
인천광역시 서구 가현로42번길 50	O
인천광역시 서구 가현로42번길 50	O
인천광역시 서구 가현로42번길 50	O
경기도 양평군 용문면 지평로 5	O
전라남도 여수시 신월로 561-8	O
경상북도 상주시 화동면 어산로 587	O
대구광역시 달서구 선원남로 181	O
경상북도 상주시 낙양3길 29	O
경상북도 상주시 낙양3길 29	O
강원특별자치도 원주시 반곡길 45	O
강원특별자치도 홍천군 영귀미면 금계로 1549	O
경기도 고양시 일산서구 탄현로 80	O
경상북도 포항시 남구 송도로 41	O
경상남도 밀양시 미리벌중앙로 35	O
전북특별자치도 전주시 덕진구 하가1길 20	O
경기도 화성시 동탄구 동탄순환대로21길 54	O
경기도 남양주시 진접읍 해밀예당1로190번길 24-10	O
인천광역시 서구 원창로157번길 6	O
경기도 구리시 이문안로139번길 48	O
광주광역시 북구 양일1로 52-1	O
서울특별시 강북구 수유로23길 25-5	O
경상남도 의령군 의령읍 행복로 7	O
부산광역시 서구 암남로94번길 61	O
서울특별시 동대문구 이문로9길 105-13	O
충청북도 보은군 수한면 중동정길 4-3	O
인천광역시 중구 자연대로 667	O
인천광역시 중구 자연대로 667	O
대전광역시 중구 태평로 55	O
전남광주통합특별시 담양군 담양읍 시산1길 12-31	O
대전광역시 중구 계백로1716번길 87	O
경기도 용인시 수지구 진산로 90	O
경상남도 고성군 개천면 나선길 99-3	O
강원특별자치도 강릉시 경포로 477	O
경상북도 포항시 북구 득량길 20	O
경상북도 김천시 모암사랑6길 7	O
부산광역시 사상구 백양대로506번길 15	O
서울특별시 구로구 경인로 382	O
경기도 화성시 병점구 병점2로 안화동마을 6단지 604동 406호	X
대전광역시 중구 계룡로 764	O
서울특별시 서초구 고무래로 35	O
경상남도 진주시 초전남로 46	O
충청북도 청주시 상당구 탑동로1번길 70	O
서울특별시 양천구 신정로11길 20	O
전라남도 목포시 상동로 43	O
경기도 성남시 중원구 둔촌대로63번길 11	O
경기도 남양주시 진접읍 해밀예당1로190번길 24-10	O
인천광역시 서구 원창로157번길 6	O
경기도 구리시 이문안로139번길 48	O
광주광역시 북구 양일1로 52-1	O
서울특별시 강북구 수유로23길 25-5	O
경상남도 의령군 의령읍 행복로 7	O
부산광역시 서구 암남로94번길 61	O
서울특별시 동대문구 이문로9길 105-13	O
충청북도 보은군 수한면 중동정길 4-3	O
인천광역시 중구 자연대로 667	O
인천광역시 중구 자연대로 667	O
대전광역시 중구 태평로 55	O
전남광주통합특별시 담양군 담양읍 시산1길 12-31	O
대전광역시 중구 계백로1716번길 87	O
경기도 용인시 수지구 진산로 90	O
경상남도 고성군 개천면 나선길 99-3	O
강원특별자치도 강릉시 경포로 477	O
경상북도 포항시 북구 득량길 20	O
경상북도 김천시 모암사랑6길 7	O
부산광역시 사상구 백양대로506번길 15	O
서울특별시 구로구 경인로 382	O
경기도 화성시 병점구 병점2로 안화동마을 6단지 604동 406호	X
대전광역시 중구 계룡로 764	O
서울특별시 서초구 고무래로 35	O
경상남도 진주시 초전남로 46	O
충청북도 청주시 상당구 탑동로1번길 70	O
서울특별시 양천구 신정로11길 20 	O
전남광주통합특별시 목포시 상동로 43	O
경기도 성남시 중원구 둔촌대로63번길 11	O
