query,answer,in_읍면리포함
경남 의령군 의령읍 어의병로 십구길 삼 다시 오 명신관광,경상남도 의령군 의령읍 의병로19길 3-5,True
경남 거창군 웅양면 풍양로 일사삼 사 홍양슈퍼,경상남도 거창군 웅양면 웅양로 1434,True
대구시 달성군 다사읍 서재로 이십삼길 육다시사백이동 삼백일호 우정아트빌,대구광역시 달성군 다사읍 서재로23길 6-4,True
여수시 소라면 죽림중앙로 이십일 다시 육십이 삼백일 호,전남광주통합특별시 여수시 소라면 죽림중앙로 21-12,True
경남 사천시 정동면 삼곡길 오 육 차,경상남도 사천시 정동면 감곡길 5,True
충남 부여군 규암면 수풍로 사십구 다시 일 송도회관,충청남도 부여군 규암면 수북로 49-1,True
인천 강화군 해안남로 이사육사 다시 이하나,인천광역시 강화군 화도면 해안남로 2464-21,True
경북 의성군 춘산면 춘산대 사 일 길 백사십오,경상북도 의성군 춘산면 춘산대사1길 145,True
경북 경산시 하양읍 하양로 삼십칠길 일칠사영코아루 백삼동 이백일호,경상북도 경산시 하양읍 하양로37길 17,True
장현장곡로 일오이 천삼 동 천구백삼 호,경기도 파주시 조리읍 장곡로 152,True
영광로 이오오삼 팔 함평 나 비 주 유소,전남광주통합특별시 함평군 해보면 영광로 2538,True
춘천동 내면 거두택지 사 번길 칠 다시 칠,강원특별자치도 춘천시 동내면 거두택지길4번길 7-7,True
양산시 동면 노포사송로 사백오백삼 동 천오백삼 호 엘에이치 오 단지,경상남도 양산시 동면 노포사송로 400,True
경북 예천군 막골길 칠십사 유정식당,강원특별자치도 원주시 호저면 막골길 74,True
전남 신안군 비금면 비금서부길 칠십사에 사십호,전남광주통합특별시 신안군 비금면 비금서부길 74-40,True
강원도 철원군 갈말읍 호국로 오공삼 국 철환 현대서비스,경기도 포천시 소흘읍 호국로 503,True
충남 충남 보령시 주교면 대평길 사십오에 이십육,충청남도 보령시 주교면 외평길 45-26,True
충북 괴산군 괴산읍 대월로 이삼육 다시 이육,충청북도 괴산군 괴산읍 제월로 236-26,True
경남 고성군 삼산면 병산 삼 길 사육일에 사십호,경상남도 고성군 삼산면 병산3길 461-40,True
경기도 남양주시 오남로 육삼일에진주아파트 천이동 삼백이호,경기도 남양주시 오남읍 진건오남로 631,True
충남 청양군 화성면 월매통골길 사십팔 다시 육,충청남도 청양군 화성면 멀뫼통골길 48-6,True
경북 영주시 부석면 영부로 백육 번길 육 다시 십이,경상북도 영주시 부석면 영부로106번길 6-11,True
전남 보성군 보성읍 인 사 길 일 번지,전남광주통합특별시 보성군 보성읍 인사길 1,True
경남 창녕군 부곡면 온천로 일일구공안야촌 식물원,경상남도 창녕군 부곡면 온천로 1190,True
전남 영광군 영광읍 장궁길 백칠십이에 십이,전남광주통합특별시 영광군 영광읍 장궁길 172-10,True
전북 김제시 금산면 모악 십사 길 일공사,전북특별자치도 김제시 금산면 모악14길 204,True
충북 진천군 덕산읍 대하로 백구십사백십동 천삼백이호 동일하이빌 파크팰리스,충청북도 진천군 덕산읍 대하로 194,True
울산광역시 울주군 웅촌면 대곡동천로 백사십육,울산광역시 울주군 웅촌면 대복동천로 146,True
전남 신안군 흑산면 이리 이 길 육십이 다시 이,전남광주통합특별시 신안군 흑산면 예리2길 62-2,True
조기 숙 부산시 기장군 부산시 기장군 고촌로 사십사번길 십육번고촌휴먼시아 백구동 천사호,부산광역시 기장군 철마면 고촌로44번길 16,True
세종시 연동면 송용 이십오 다시 구 번,세종특별자치시 연동면 송용1길 25-9,False
인천시 춘천시 남산면 강촌삼 리북한강변길 구 일공 다시 이사,강원특별자치도 춘천시 남산면 북한강변길 910-24,True
강원도 홍천군 홍천읍 너브내길기이백 대림캐슬 이동 오백삼호,강원특별자치도 홍천군 홍천읍 너브내길 200,True
경상남도 김해시 진영읍 하계로 구다시 이십구백오동 사백사호 동상원하남시 하우스토리,경상남도 김해시 진영읍 하계로 9-29,True
충북 청주시 상당구 미원면 계골길 십육 다시 오십오,충청북도 청주시 상당구 미원면 금관갯골길 16-55,True
충북 옥천군 옥천읍 내덕로 팔십삼 단독 주택입니다,충청북도 옥천군 옥천읍 매동로 83,True
청주시 청원구 오창읍 양청길 팔십 오백육 호,충청북도 청주시 청원구 오창읍 양청길 85,True
충남 서산시 부석면 청금산 일 로 팔십사 다시 십육,충청남도 서산시 부석면 청금산1길 84-16,True
충남 예산군 고덕면 용오길 이백이십구,충청남도 예산군 고덕면 용고길 229,True
전남 영암군 삼호읍 대불주거로대불주거오로 삼십이다시어 다시 할때나스퀘어 전남 영암군 삼호읍 대불주거로일역일육공 백육동 천백오호 금호타운,전남광주통합특별시 영암군 삼호읍 대불주거로 160,True
충주시 동량면 도동 일길 오십삼 동양대곡사택,충청북도 충주시 동량면 조동1길 53,True
경남 의령군 부림면 대한로 일칠팔 공들국화맨션 팔백삼 호,경상남도 의령군 부림면 대한로 1780,True
강릉시 왕산면 검뱅이골길 구칠,강원특별자치도 강릉시 왕산면 검뎅이골길 97,True
경북 경주시 외동읍 계능길 오십 다시 이,경상북도 경주시 외동읍 괘릉길 50-2,True
경남 창녕군 영산면 새롬길 백삼,경상남도 창녕군 영산면 새룡길 103,True
제주시 애월읍 구엄월동길 일팔 다시 삼육 일 층,제주특별자치도 제주시 애월읍 구몰동길 18-36,True
창원시 의창구 동읍 용잠리 팔백칠십 한양립스 백삼동 천사백삼호,경상남도 창원시 의창구 동읍 의창대로 870,True
경기도 연천군 경기도 연천군 마산면 오산로 삼구일 다시 팔십일,경기도 연천군 미산면 어삼로 391-81,True
전남 담양군 대전면 대치 사 길 사십육 번지,전남광주통합특별시 담양군 대전면 대치4길 46,True
경남 산청군 신안면 중촌 갈전은로 삼오삼 다시 일삼,경상남도 산청군 신안면 중촌갈전로 353-13,True
경남 산청군 신등면 신지리내단길 칠 다시 이십팔,경상남도 산청군 신등면 내당길 7-28,True
충 충남 아산시 은풍면 월암로 사팔칠에 있택시,충청남도 아산시 음봉면 월암로 487,True
경기도 제주시 조천읍 함덕남십이길 십구 다시 삼 해학생나동 오백오 호,제주특별자치도 제주시 조천읍 함덕남12길 19-3,True
경북 봉화군 명호면 용제로 삼백칠십팔 다시 삼십구,경상북도 봉화군 명호면 명재로 378-39,True
경기도 양주시 백석읍 양주산성로 구칠사에 오번지오칠사번길 삼십일다시십오 서울힐 백삼동 이백이호,경기도 양주시 백석읍 양주산성로574번길 31-15,True
아산 배신리 남 도 칠칠 이지더원 아파트 칠백일 동 이천삼백사 호,충청남도 아산시 둔포면 아산밸리남로 77,True
울산 울주군 삼남읍 동화마을길 구 교동 주공 백삼동 팔백칠호,울산광역시 울주군 삼남읍 봉화마을길 9,True
경기 가평군 정산 일 길 삼십구,경기도 가평군 상면 청우산1길 39,True
인천 강화군 길상면 해란길 사십이 번길 구 다시 이십오,인천광역시 강화군 길상면 해란길32번길 9-25,True
광주광역시 남구 용대로 일칠일에 칠 삼일아파트 십동 오백팔호,전남광주통합특별시 남구 용대로171번길 7,True
충북 음성군 원남면 하당리 십사 자연빌라 가동 사백일호,충청북도 음성군 원남면 하당길 14,True
충북 진천군 덕산읍 대원로 백이십칠 모아엘가더테라스 사백일동 천삼백삼호,충청북도 진천군 덕산읍 대월로 127,True
전북 완주군 용진면 부평리 삼십삼 다시 삼,전북특별자치도 완주군 용진읍 부평길 33-3,True
전라남도 완도군 군외면 갈운 십삼 번길 일 다시 십일,전남광주통합특별시 완도군 군외면 갈문13번길 1-11,True
주소 아가장감남 연조서구 이음 경기도 남양주시 진접읍 내각일로어팔십구번길 이다시 십이 삼백이호,경기도 남양주시 진접읍 내각1로89번길 2-12,True
거 제 거 제시 거제북로 일이육오 다시 일,경상남도 거제시 장목면 거제북로 1265-1,True
충남 금산군 남일면 십이 폭포로 이사공에 사육,충청남도 금산군 남일면 십이폭포로 240-46,True
대구 군위군 효령면 경북대로 이칠공삼 에 어 사,대구광역시 군위군 효령면 경북대로 2703-54,True
경남 합천군 봉산면 산면 양지 이 길 백이십이,경상남도 합천군 봉산면 양지2길 122,True
대구 달성군 논공읍 비슬로 삼이일 길 일일삼,대구광역시 달성군 논공읍 비슬로371길 113,True
경기도 안성시 일죽면 서동대로 칠사일육다시십일 층아주타운 백삼동 칠백오호,경기도 안성시 일죽면 서동대로 7416-10,True
전라남도 보성군 노동면 금어리길 칠십오 다시 사,전남광주통합특별시 보성군 노동면 대여길 75-4,True
경기도 연천군 연천읍 자곡로 백사십구 이편한세상 백육동 천삼백삼호,경기도 연천군 연천읍 차옥로 149,True
강원 삼 척시 백두대간로 삼공삼오 다시 삼십일,강원특별자치도 삼척시 하장면 백두대간로 3035-31,True
충남 당진시 신평면 탑거리길 구십육다시삼십구 문정아트빌 씨동 백이호,충청남도 당진시 신평면 닻거리길 96-39,True
경북 고령군 성산면 대원 일 길 십,경상북도 고령군 성산면 대흥1길 10,True
청주시 상당구 문의면 덕유남계로 삼사사 다시 이십사 이십삼 산다방,충청북도 청주시 상당구 문의면 덕유남계로 344-23,True
대구시 달성군 현풍읍 테크노북로 이길우일동미라주 백육동 천칠백이호,대구광역시 달성군 현풍읍 테크노북로2길 9,True
화성시 비봉면 새비봉남로 사십일 엘에이치 사단지 사백삼동 사백사호,경기도 화성시 효행구 비봉면 새비봉남로 40,True
충청남도 태안군 안면읍 상도로 사백육십삼안면 도 글램핑,충청남도 태안군 안면읍 황도로 463,True
성 경북 청송군 청송읍 해랑평성로 일육육이신우파크빌 백이동 사백육호로,경상북도 청송군 청송읍 길안청송로 1662,True
강원도 홍천군 영귀미면 소타 사 로 이백이십칠 다시 삼십이,강원특별자치도 홍천군 영귀미면 수타사로 227-32,True
제주시 애월읍 어 소길 십오,제주특별자치도 제주시 애월읍 소길1길 15,True
경기도 평택시 현덕면 화양가 양현아인로 오십 이편한세상 백오동 천육백일호,경기도 평택시 현덕면 화양현화1로 50,True
경기도 양평군 용문면 지평로 오성동빌딩 이백사 호,경기도 양평군 용문면 지평로 5,True
상주시 화동면 오산로 오팔칠,경상북도 상주시 화동면 어산로 587,True
강원도 홍천군 서면 이미면 금계로 일오사구,강원특별자치도 홍천군 영귀미면 금계로 1549,True
경기도 남양주시 진접읍 해밀예당일로 백구십번길 이십사 다시 십삼 백삼호,경기도 남양주시 진접읍 해밀예당1로190번길 24-10,True
경남 의령군 의령읍 행복로 채신우희가로 백이 동 이백사 호,경상남도 의령군 의령읍 행복로 7,True
충북 보은군 수한면 충동 정길 사 다시 삼,충청북도 보은군 수한면 중동정길 4-3,True
전남 담양군 담양읍 시산 일 길 칠이 다시 삼십일,전남광주통합특별시 담양군 담양읍 시산1길 12-31,True
계 경남 고성군 개천면 나선리 구십구 다시 삼,경상남도 고성군 개천면 나선길 99-3,True
경기도 남양주시 진접읍 해밀예당일로 백구십번길 이십사 다시 십삼 백삼호,경기도 남양주시 진접읍 해밀예당1로190번길 24-10,True
경남 의령군 의령읍 행복로 채신우희가로 백이 동 이백사 호,경상남도 의령군 의령읍 행복로 7,True
충북 보은군 수한면 충동 정길 사 다시 삼,충청북도 보은군 수한면 중동정길 4-3,True
전남 담양군 담양읍 시산 일 길 칠이 다시 삼십일,전남광주통합특별시 담양군 담양읍 시산1길 12-31,True
계 경남 고성군 개천면 나선리 구십구 다시 삼,경상남도 고성군 개천면 나선길 99-3,True
도 목포시 항동로 사삼 상북 주공 아파트 이백일 동 삼백삼 호,전남광주통합특별시 목포시 상동로 43,True
